JobTitle,TotalSum
Specialist Managers,82111
"Hospitality, Retail and Service Managers",51567
"Business, Human Resource and Marketing Professionals",95912
"Design, Engineering, Science and Transport Professionals",53217
Education Professionals,40699
Health Professionals,92118
ICT Professionals,63798
"Engineering, ICT and Science Technicians",29713
Automotive and Engineering Trades Workers,28253
Construction Trades Workers,29504
Food Trades Workers,34888
Carers and Aides,77183
Hospitality Workers,27584
Office Managers and Program Administrators,23926
General Clerical Workers,20659
Inquiry Clerks and Receptionists,20189
Numerical Clerks,41831
Other Clerical and Administrative Workers,20888
Sales Assistants and Salespersons,62168
Road and Rail Drivers,32224
Cleaners and Laundry Workers,39175
Factory Process Workers,32584
Food Preparation Assistants,20600
